Longitude,Latitude
10.77534758,59.6658596
10.77534752,59.66585965
10.77534754,59.66585969
10.7753473,59.66585998
10.77534701,59.66586022
10.77534677,59.66586042
10.77534493,59.6658676
10.77534747,59.66588249
10.77534739,59.66588243
10.77534724,59.66588247
10.77534714,59.6658825
10.77534697,59.66588246
10.77534678,59.66588248
10.77534642,59.66588247
10.77534624,59.66588246
10.77534611,59.66588243
10.77534626,59.66588244
10.77534627,59.66588232
10.77534595,59.66588243
10.7753381,59.66588568
10.77533797,59.66588562
10.77535342,59.66586349
10.7753535,59.66586693
10.77536424,59.66586961
10.77537427,59.66588664
10.77536811,59.66588881
10.77535985,59.66587819
10.77535872,59.6658773
10.77534108,59.66588137
10.77534092,59.66588135
10.77534095,59.66588155
10.77531244,59.66584831
10.77531157,59.66584944
10.77531128,59.66584972
10.77531066,59.66584985
10.77531042,59.66585006
10.77530992,59.66585034
10.77530955,59.66585062
10.77530908,59.66585087
10.77530868,59.66585111
10.77530822,59.66585136
10.77530805,59.66585159
10.77530759,59.66585181
10.77530707,59.66585212
10.77530678,59.6658524
10.77530634,59.66585261
10.77530594,59.66585281
10.77530576,59.66585301
10.77530528,59.66585317
10.77530499,59.6658534
10.77530465,59.66585359
10.77530442,59.66585381
10.77530391,59.66585397
10.77530374,59.66585419
10.77530356,59.66585446
10.77530331,59.66585466
10.775303,59.66585481
10.77530257,59.66585492
10.77530241,59.66585512
10.77530243,59.66585525
10.77530233,59.66585532
10.77530238,59.66585547
10.77530231,59.66585551
10.7753022,59.66585561
10.77530242,59.66585573
10.77530216,59.6658558
10.77530192,59.66585586
10.77530189,59.66585597
10.77530189,59.66585607
10.77530184,59.66585627
10.77530166,59.66585643
10.77530158,59.66585656
10.77530158,59.66585676
10.77530157,59.66585688
10.77530149,59.66585695
10.77530132,59.6658571
10.77530095,59.66585718
10.77530093,59.66585729
10.77530078,59.66585739
10.77530091,59.66585756
10.77530082,59.66585767
10.77530097,59.66585786
10.77530096,59.66585796
10.77530084,59.66585813
